Message_Count,Unique_IDs,Mean_Delta_T,Std_Delta_T,Label
7,1,0.012978417532784598,0.0053244994546354065,0
6,1,0.0151289701461792,0.0004172930389736138,0
7,1,0.015263353075299944,0.0003054627977394347,0
7,1,0.015049389430454798,0.000244630365842883,0
6,1,0.015011111895243326,0.0001689896927418408,0
7,1,0.01538048471723284,0.0004006261410701564,0
7,1,0.015513556344168527,0.000372954746204034,0
7,2,0.013079677309308733,0.005362378297919594,0
7,2,0.012956244604928153,0.0053081550036523095,0
7,1,0.015360832214355469,0.00023602441598741621,0
7,1,0.01537074361528669,0.0002288910197342325,0
6,1,0.015180150667826334,0.00020508448800878924,0
6,1,0.015073339144388834,0.00020008861305979869,0
7,1,0.014990465981619698,3.684382234767455e-05,0
7,1,0.015015738351004464,0.00010511149142772289,0
6,1,0.015032688776652018,0.00012312318521940426,0
7,1,0.015525613512311662,0.00046039560561707363,0
7,1,0.01570452962602888,0.000335010812952033,0
7,2,0.08918431827000209,0.18132066531230295,0
7,2,0.08922828946794782,0.18130274526291718,0
7,1,0.015193837029593331,0.00038888578936969716,0
7,1,0.015356745038713728,0.0005397964735089438,0
6,1,0.015555222829182943,0.00043133526887912093,0
7,1,0.015084402901785714,0.00026321802500241286,0
7,1,0.014995268412998744,0.00018425967401638953,0
6,1,0.015011350313822428,5.20711155917295e-05,0
7,1,0.01502401488167899,0.00010166482560512621,0
7,1,0.01497687612261091,0.00013606972884258855,0
7,2,0.08433151245117188,0.16954050336665336,0
7,2,0.08446751322065081,0.16948500706440056,0
7,1,0.015193258013044084,0.00023195918580265877,0
7,1,0.015041896275111608,0.0001536926290884538,0
6,1,0.014970898628234863,9.691666364057792e-05,0
7,1,0.01500242097037179,9.702064557320591e-05,0
7,1,0.014983619962419783,0.00010090820594389775,0
6,1,0.014980276425679525,9.880682817011138e-05,0
7,1,0.014996085848127092,9.930514509808212e-05,0
7,1,0.015012638909476144,0.00016856691459214967,0
7,2,0.08810574667794364,0.17910234690161744,0
8,2,0.0789928138256073,0.16926087197724907,0
7,1,0.015199525015694755,0.0003064456679017433,0
6,1,0.015401005744934082,0.00029838078824351343,0
7,1,0.015263455254690987,0.00034659855256565517,0
7,1,0.015211003167288644,0.00031390837882970177,0
6,1,0.015400330225626627,0.000289424072348105,0
6,1,0.015415827433268229,0.00041881184411881255,0
7,1,0.015205042702811105,0.0005182801251346502,0
7,1,0.015118564878191267,0.0004261998198482215,0
6,1,0.015009840329488119,0.00017685497525187294,0
7,2,0.08686120169503349,0.17567458989806403,0
8,2,0.07812574505805969,0.1659446591625593,0
7,1,0.015298775264195033,0.00021093162719449215,0
6,1,0.015134692192077637,0.0004648589186516615,0
7,1,0.015237569808959961,0.0004779061358336097,0
7,1,0.01518099648611886,0.0002581156049061042,0
6,1,0.014983097712198893,8.47913217810989e-05,0
7,1,0.015139273234776087,0.00030340511533168986,0
7,1,0.015236718314034598,0.0004479068490321717,0
6,1,0.015172481536865234,0.0004091852106027193,0
7,2,0.08696821757725307,0.17565475074539627,0
8,2,0.07796350121498108,0.16602853613220195,0
7,1,0.015195505959647042,0.0004933935065491125,0
6,1,0.015202760696411133,0.00046334062847838003,0
7,1,0.015085560934884208,0.0003967140411168559,0
7,1,0.015166282653808594,0.0004325482653454564,0
6,1,0.015143871307373047,0.00037345204129547494,0
7,1,0.015026909964425223,9.116010342686882e-05,0
7,1,0.0150343690599714,0.0002662952939316022,0
6,1,0.015151460965474447,0.0004181902070548876,0
7,2,0.08676777567182269,0.17507206314223495,0
8,2,0.07798773050308228,0.16540400978751635,0
7,1,0.015479190008980888,0.0004025716060669143,0
6,1,0.015137553215026855,0.0002089474524047683,0
7,1,0.01498314312526158,0.00016884443493058165,0
7,1,0.015028987612043108,0.0001743092763917695,0
6,1,0.015010515848795572,8.589299318906874e-05,0
6,1,0.015217264493306478,0.00034287698648348283,0
7,1,0.015548365456717355,0.00037959294616124174,0
7,1,0.015542336872645788,0.0003113619558907028,0
6,1,0.015303254127502441,0.00016985511125372065,0
7,2,0.08727121353149414,0.17626529915383018,0
8,2,0.07840508222579956,0.16654111502166605,0
8,1,0.013431668281555176,0.0025577631089233666,0
9,1,0.010621150334676107,0.00163575149344021,0
10,1,0.009995102882385254,0.00021769781647366823,0
10,1,0.010027766227722168,0.00010691701679868715,0
10,1,0.010015511512756347,0.00012378207009478175,0
10,1,0.010036516189575195,0.00017561931957075664,0
10,1,0.010083723068237304,0.0003157791536330313,0
10,1,0.009992718696594238,0.00038650580315228615,0
11,2,0.05595161698081277,0.14553112865363335,0
11,2,0.05598833344199441,0.1455193364370464,0
10,1,0.009986329078674316,0.0002694557175055645,0
10,1,0.009987545013427735,0.0003540008810444349,0
10,1,0.009969067573547364,0.0003495782128858952,0
10,1,0.009975337982177734,0.0003132132232600536,0
10,1,0.010091066360473633,0.00032561994201195187,0
10,1,0.010015439987182618,0.00037683639640940863,0
10,1,0.009927082061767577,0.00025278074592222625,0
10,1,0.010067582130432129,0.0001734580041178484,0
11,2,0.054751591248945755,0.1412823285401889,0
11,2,0.054649981585415924,0.14131449143851468,0
10,1,0.009936308860778809,0.00019070411821765136,0
10,1,0.009981012344360352,8.000840148359573e-05,0
10,1,0.010006213188171386,3.103939790298022e-05,0
10,1,0.009991955757141114,9.001727338588288e-05,0
10,1,0.009981274604797363,0.00012912131511974,0
10,1,0.01000821590423584,0.00011729405394067814,0
10,1,0.010011434555053711,8.955377605382473e-05,0
10,1,0.009995055198669434,8.627821558974955e-05,0
11,2,0.05480811812660911,0.14152053471784115,0
11,2,0.054835601286454635,0.1415121782607387,0
10,1,0.010078167915344239,0.0003561413299907582,0
10,1,0.010050153732299805,0.00014657632976423633,0
10,1,0.009998965263366699,5.916471732897771e-05,0
10,1,0.01000664234161377,0.00019629120348540344,0
10,1,0.01002950668334961,0.00020811652683588327,0
10,1,0.01010580062866211,0.00032715841904067724,0
10,1,0.010073995590209961,0.00043269563440840637,0
10,1,0.009982872009277343,0.00029639119174043187,0
11,2,0.05475464734164151,0.141449810462688,0
11,2,0.05476880073547363,0.14144532307737206,0
10,1,0.00993647575378418,0.00022968073833417452,0
